source_symbol,feature_name,resolved_hgnc_symbol,mapping_method,mapping_source
MCRS1,Q96EZ8,MCRS1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MCTP2,Q6DN12,MCTP2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MCTS1,Q9ULC4,MCTS1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MDFIC,Q9P1T7,MDFIC,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MDM1,Q8TC05,MDM1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ME1,P48163,ME1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ME3,Q16798,ME3,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MEAK7,Q6P9B6,MEAK7,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED12L,Q86YW9,MED12L,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED13L,Q71F56,MED13L,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED14,O60244,MED14,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED15,Q96RN5,MED15,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED16,Q9Y2X0,MED16,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED17,Q9NVC6,MED17,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED20,Q9H944,MED20,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED21,Q13503,MED21,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED24,O75448,MED24,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED4,Q9NPJ6,MED4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MED7,O43513,MED7,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MED8,Q96G25,MED8,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEDAG,Q5VYS4,MEDAG,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEF2A,Q02078,MEF2A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEF2D,Q14814,MEF2D,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEFV,O15553,MEFV,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MEGF10,Q96KG7,MEGF10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEGF6,O75095,MEGF6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEIS1,O00470,MEIS1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MELTF,P08582,MELTF,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEMO1,Q9Y316,MEMO1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEPCE,Q7L2J0,MEPCE,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MESD,Q14696,MESD,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEST,Q5EB52,MEST,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MET,P08581,MET,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METAP1,P53582,METAP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METAP2,P50579,METAP2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METRN,Q9UJH8,METRN,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METRNL,Q641Q3,METRNL,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METTL14,Q9HCE5,METTL14,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METTL3,Q86U44,METTL3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METTL7A,Q9H8H3,METTL7A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METTL7B,Q6UX53,METTL7B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
METTL9,Q9H1A3,METTL9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MEX3C,Q5U5Q3,MEX3C,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MFAP1,P55081,MFAP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFAP2,P55001,MFAP2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFAP4,P55083,MFAP4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFGE8,Q08431,MFGE8,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFNG,O00587,MFNG,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFSD1,Q9H3U5,MFSD1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFSD10,Q14728,MFSD10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFSD6,Q6ZSS7,MFSD6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFSD8,Q8NHS3,MFSD8,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MFSD9,Q8NBP5,MFSD9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MGA,Q8IWI9,MGA,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MGARP,Q8TDB4,MGARP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MGAT2,Q10469,MGAT2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MGAT3,Q09327,MGAT3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MGP,P08493,MGP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MGST1,P10620,MGST1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MGST2,Q99735,MGST2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MIA2,Q96PC5,MIA2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MIB1,Q86YT6,MIB1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MICAL2,O94851,MICAL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MICAL3,Q7RTP6,MICAL3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MICALL1,Q8N3F8,MICALL1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MICALL2,Q8IY33,MICALL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MICU2,Q8IYU8,MICU2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MID1,O15344,MID1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MIDEAS,Q6PJG2,MIDEAS,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MIEF2,Q96C03,MIEF2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MIER1,Q8N108,MIER1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MIGA1,Q8NAN2,MIGA1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MILR1,Q7Z6M3,MILR1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MINDY1,Q8N5J2,MINDY1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MINDY2,Q8NBR6,MINDY2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MINDY3,Q9H8M7,MINDY3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MINK1,Q8N4C8,MINK1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MINPP1,Q9UNW1,MINPP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MIS12,Q9H081,MIS12,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MISP3,Q96FF7,MISP3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MITD1,Q8WV92,MITD1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MKLN1,Q9UL63,MKLN1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MKNK1,Q9BUB5,MKNK1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MLF2,Q15773,MLF2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MLIP,Q5VWP3,MLIP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MLKL,Q8NB16,MLKL,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MLLT1,Q03111,MLLT1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MLLT10,P55197,MLLT10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MLLT11,Q13015,MLLT11,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MLLT3,P42568,MLLT3,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MLST8,Q9BVC4,MLST8,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMAA,Q8IVH4,MMAA,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMAB,Q96EY8,MMAB,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMADHC,Q9H3L0,MMADHC,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MME,P08473,MME,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMP12,P39900,MMP12,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMP14,P50281,MMP14,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MMP19,Q99542,MMP19,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMP23B,O75900,MMP23B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMP28,Q9H239,MMP28,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMP8,P22894,MMP8,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMP9,P14780,MMP9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMRN1,Q13201,MMRN1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMRN2,Q9H8L6,MMRN2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMS19,Q96T76,MMS19,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMTAG2,Q9BU76,MMTAG2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MMUT,P22033,MMUT,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MNAT1,P51948,MNAT1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MNDA,P41218,MNDA,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MOB1A,Q9H8S9,MOB1A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MOB3C,Q70IA8,MOB3C,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MOB4,Q9Y3A3,MOB4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MOCOS,Q96EN8,MOCOS,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MOCS2,O96007,MOCS2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MOGS,Q13724,MOGS,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MON1B,Q7L1V2,MON1B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MORC4,Q8TE76,MORC4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MORF4L2,Q15014,MORF4L2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MOV10,Q9HCE1,MOV10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MOV10L1,Q9BXT6,MOV10L1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MOXD1,Q6UVY6,MOXD1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPC1,Q9Y5U8,MPC1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPC2,O95563,MPC2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPDU1,O75352,MPDU1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPG,P29372,MPG,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPHOSPH10,O00566,MPHOSPH10,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPHOSPH8,Q99549,MPHOSPH8,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPO,P05164,MPO,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPP1,Q00013,MPP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPP2,Q14168,MPP2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MPP7,Q5T2T1,MPP7,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPPED2,Q15777,MPPED2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MPV17,P39210,MPV17,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPZL1,O95297,MPZL1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MPZL2,O60487,MPZL2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MRAS,O14807,MRAS,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRC1,P22897,MRC1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRC2,Q9UBG0,MRC2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRFAP1,Q9Y605,MRFAP1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MROH1,Q8NDA8,MROH1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL17,Q9NRX2,MRPL17,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL2,Q5T653,MRPL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL21,Q7Z2W9,MRPL21,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL22,Q9NWU5,MRPL22,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL27,Q9P0M9,MRPL27,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL32,Q9BYC8,MRPL32,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL38,Q96DV4,MRPL38,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL4,Q9BYD3,MRPL4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL41,Q8IXM3,MRPL41,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL42,Q9Y6G3,MRPL42,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL49,Q13405,MRPL49,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL52,Q86TS9,MRPL52,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL55,Q7Z7F7,MRPL55,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPL58,Q14197,MRPL58,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS11,P82912,MRPS11,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS12,O15235,MRPS12,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS14,O60783,MRPS14,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS15,P82914,MRPS15,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS18B,Q9Y676,MRPS18B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS18C,Q9Y3D5,MRPS18C,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS21,P82921,MRPS21,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS24,Q96EL2,MRPS24,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS25,P82663,MRPS25,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS28,Q9Y2Q9,MRPS28,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS33,Q9Y291,MRPS33,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS36,P82909,MRPS36,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS5,P82675,MRPS5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRPS6,P82932,MRPS6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRTFA,Q969V6,MRTFA,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MRTFB,Q9ULH7,MRTFB,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MS4A6A,Q9H2W1,MS4A6A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MSH6,P52701,MSH6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MSI1,O43347,MSI1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MSI2,Q96DH6,MSI2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MSLN,Q13421,MSLN,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MSMO1,Q15800,MSMO1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MSR1,P21757,MSR1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MSRB2,Q9Y3D2,MSRB2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MSTO1,Q9BUK6,MSTO1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MT-CO3,P00414,MT-CO3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT-CYB,P00156,MT-CYB,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT-ND2,P03891,MT-ND2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT-ND3,P03897,MT-ND3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT-ND6,P03923,MT-ND6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT1A,P04731,MT1A,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MT1G,P13640,MT1G,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT1H,P80294,MT1H,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT1X,P80297,MT1X,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MT2A,P02795,MT2A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTA1,Q13330,MTA1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTA2,O94776,MTA2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTAP,Q13126,MTAP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTARC1,Q5VT66,MTARC1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTCL1,Q9Y4B5,MTCL1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTFMT,Q96DP5,MTFMT,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTFR1L,Q9H019,MTFR1L,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTG2,Q9H4K7,MTG2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MTHFD1L,Q6UB35,MTHFD1L,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTHFD2,P13995,MTHFD2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTHFR,P42898,MTHFR,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTM1,Q13496,MTM1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTMR1,Q13613,MTMR1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTMR2,Q13614,MTMR2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTMR3,Q13615,MTMR3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTOR,P42345,MTOR,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTPN,P58546,MTPN,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTR,Q99707,MTR,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTRF1,O75570,MTRF1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MTRR,Q9UBK8,MTRR,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MTUS1,Q9ULD2,MTUS1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MUL1,Q969V5,MUL1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MVB12A,Q96EY5,MVB12A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MVD,P53602,MVD,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MVK,Q03426,MVK,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MVP,Q14764,MVP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MX1,P20591,MX1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MXRA5,Q9NR99,MXRA5,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MXRA7,P84157,MXRA7,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MXRA8,Q9BRK3,MXRA8,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYADML2,A6NDP7,MYADML2,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MYBBP1A,Q9BQG0,MYBBP1A,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYBPC2,Q14324,MYBPC2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYCBP,Q99417,MYCBP,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYCBP2,O75592,MYCBP2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYCT1,Q8N699,MYCT1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYD88,Q99836,MYD88,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYH7,P12883,MYH7,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
MYH9,P35579,MYH9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYL1,P05976,MYL1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYL11,Q96A32,MYL11,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYL2,P10916,MYL2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYL6B,P14649,MYL6B,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYL7,Q01449,MYL7,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYL9,P24844,MYL9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
MYLK,Q15746,MYLK,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
