source_symbol,feature_name,resolved_hgnc_symbol,mapping_method,mapping_source
ACADS,P16219,ACADS,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACADSB,P45954,ACADSB,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACAN,P16112,ACAN,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACAP2,Q15057,ACAP2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACAP3,Q96P50,ACAP3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACAT2,Q9BWD1,ACAT2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACBD3,Q9H3P7,ACBD3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACCS,Q96QU6,ACCS,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ACD,Q96AP0,ACD,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACE2,Q9BYF1,ACE2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACLY,P53396,ACLY,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACO2,Q99798,ACO2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACOT1,Q86TX2,ACOT1,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACOT11,Q8WXI4,ACOT11,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACOT4,Q8N9L9,ACOT4,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACOT7,O00154,ACOT7,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACOT9,Q9Y305,ACOT9,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACP2,P11117,ACP2,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACP3,P15309,ACP3,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ACP6,Q9NPH0,ACP6,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSBG1,Q96GR2,ACSBG1,approved_symbol,HGNC 2025-04-01 archive uniprot_ids
ACSF3,Q4G176,ACSF3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
ACSL3,O95573,ACSL3,study_provided_exact_label,Ding 2025 Table S2 DEPs exact Protein-to-UniProt crosswalk
